TrainStatus	TrainLatitude	TrainLongitude	TrainCode	TrainDate	PublicMessage	Direction
N	51.8491	-8.29956	P536	23 Mar 2026	P536\nCobh to Cork\nExpected Departure 20:30	To Cork
N	51.9018	-8.4582	A231	23 Mar 2026	A231\nCork to Dublin Heuston\nExpected Departure 20:25	To Dublin Heuston
N	52.2667	-7.1183	A531	23 Mar 2026	A531\nWaterford to Dublin Heuston\nExpected Departure 20:20	To Dublin Heuston
N	53.0371	-7.30086	P226	23 Mar 2026	P226\nPortlaoise to Dublin Heuston\nExpected Departure 20:33	To Dublin Heuston
N	53.1442	-6.06085	E844	23 Mar 2026	E844\nGreystones to Malahide\nExpected Departure 20:31	Northbound
N	53.2043	-6.10046	E946	23 Mar 2026	E946\nBray to Howth\nExpected Departure 20:27	Northbound
N	53.3397	-6.23773	D423	23 Mar 2026	D423\nGrand Canal Dock to Hazelhatch\nExpected Departure 20:30	Southbound
N	53.3464	-6.29461	A730	23 Mar 2026	A730\nDublin Heuston to Galway\nExpected Departure 20:30	To Galway
N	53.3831	-6.4242	D327	23 Mar 2026	D327\nClonsilla to M3 Parkway\nExpected Departure 20:22	Northbound
N	53.4509	-6.15649	E258	23 Mar 2026	E258\nMalahide to Bray\nExpected Departure 20:33	Southbound
R	0	0	A224	23 Mar 2026	A224\n18:00 - Dublin Heuston to Cork (0 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R	0	0	A528	23 Mar 2026	A528\n20:20 - Dublin Heuston to Waterford (0 mins late)\nDeparted Inchicore Advance Starter next stop Park West and Cherry Orchard	To Waterford
R	0	0	A808	23 Mar 2026	A808\n18:15 - Dublin Heuston to Westport (0 mins late)\nDeparted Athlone Midland Yard next stop Roscommon	To Westport
R	0	0	D537	23 Mar 2026	D537\n19:30 - Mallow to Cobh (0 mins late)\nDeparted Killarney Junction next stop Cork	To Cobh
R	52.1396	-8.65521	A312	23 Mar 2026	A312\n17:05 - Dublin Heuston to Tralee (0 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.271	-9.69846	A315	23 Mar 2026	A315\n19:05 - Tralee to Cork (0 mins late)\nDeparted Tralee next stop Farranfore	To Cork
R	52.5009	-8.20003	A229	23 Mar 2026	A229\n19:25 - Cork to Dublin Heuston (0 mins late)\nArrived Limerick Junction next stop Thurles	To Dublin Heuston
R	52.6404	-8.52719	A478	23 Mar 2026	A478\n19:42 - Limerick Junction to Ennis (0 mins late)\nDeparted Killonan next stop Limerick	To Ennis
R	52.6587	-8.62397	A788	23 Mar 2026	A788\n18:05 - Limerick to Galway (0 mins late)\nDeparted Limerick next stop Sixmilebridge	To Galway
R	52.7878	-7.82293	A226	23 Mar 2026	A226\n19:00 - Dublin Heuston to Cork (10 mins late)\nArrived Templemore next stop Thurles	To Cork
R	52.8999	-7.60259	A464	23 Mar 2026	A464\n19:05 - Ballybrophy to Limerick (0 mins late)\nDeparted Ballybrophy next stop Roscrea	To Limerick
R	52.992	-6.9762	A526	23 Mar 2026	A526\n18:35 - Dublin Heuston to Waterford (0 mins late)\nDeparted Athy next stop Carlow	To Waterford
R	53.0371	-7.30086	A227	23 Mar 2026	A227\n18:25 - Cork to Dublin Heuston (4 mins late)\nDeparted Portlaoise next stop Dublin Heuston	To Dublin Heuston
R	53.1442	-6.06085	A612	23 Mar 2026	A612\n17:28 - Dublin Connolly to Rosslare Europort (1 mins late)\nDeparted Greystones next stop Kilcoole	Southbound
R	53.1442	-6.06085	A614	23 Mar 2026	A614\n18:28 - Dublin Connolly to Wexford (5 mins late)\nDeparted Greystones next stop Kilcoole	Southbound
R	53.146	-7.18055	A728	23 Mar 2026	A728\n19:35 - Dublin Heuston to Galway (2 mins late)\nDeparted Portarlington next stop Tullamore	To Galway
R	53.163	-6.90802	A527	23 Mar 2026	A527\n18:25 - Waterford to Dublin Heuston (0 mins late)\nDeparted Kildare next stop Dublin Heuston	To Dublin Heuston
R	53.1855	-6.80807	D222	23 Mar 2026	D222\n19:45 - Dublin Heuston to Portlaoise (0 mins late)\nArrived Newbridge next stop Kildare	To Portlaoise
R	53.22	-6.1101	E843	23 Mar 2026	E843\n20:20 - Bray to Malahide (2 mins late)\nArrived Woodbrook next stop Shankill	Northbound
R	53.2364	-6.11691	E255	23 Mar 2026	E255\n19:19 - Howth to Bray (0 mins late)\nArrived Shankill next stop Woodbrook	Southbound
R	53.2557	-6.11317	A617	23 Mar 2026	A617\n17:55 - Rosslare Europort to Dublin Connolly (2 mins late)\nDeparted Killiney next stop Dun Laoghaire	Northbound
