TrainStatus	TrainLatitude	TrainLongitude	TrainCode	TrainDate	PublicMessage	Direction
N	51.9018	-8.4582	D578	23 Mar 2026	D578\nCork to Midleton\nExpected Departure 20:15	To Midleton
N	52.2667	-7.1183	A531	23 Mar 2026	A531\nWaterford to Dublin Heuston\nExpected Departure 20:20	To Dublin Heuston
N	53.2043	-6.10046	E843	23 Mar 2026	E843\nBray to Malahide\nExpected Departure 20:20	Northbound
N	53.3464	-6.29461	A528	23 Mar 2026	A528\nDublin Heuston to Waterford\nExpected Departure 20:20	To Waterford
N	53.3531	-6.24591	D934	23 Mar 2026	D934\nDublin Connolly to Maynooth\nExpected Departure 20:17	Northbound
N	53.378	-6.58993	P767	23 Mar 2026	P767\nMaynooth to Dublin Connolly\nExpected Departure 20:15	Southbound
N	53.3831	-6.4242	D327	23 Mar 2026	D327\nClonsilla to M3 Parkway\nExpected Departure 20:22	Northbound
N	53.3891	-6.07401	E129	23 Mar 2026	E129\nHowth to Greystones\nExpected Departure 20:19	Southbound
R	0	0	A224	23 Mar 2026	A224\n18:00 - Dublin Heuston to Cork (0 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R	0	0	A227	23 Mar 2026	A227\n18:25 - Cork to Dublin Heuston (0 mins late)\nDeparted PL101 next stop Portlaoise	To Dublin Heuston
R	0	0	A229	23 Mar 2026	A229\n19:25 - Cork to Dublin Heuston (1 mins late)\nDeparted LJ895 next stop Limerick Junction	To Dublin Heuston
R	0	0	A724	23 Mar 2026	A724\n17:31 - Dublin Heuston to Galway (4 mins late)\nDeparted GL368 next stop Oranmore	To Galway
R	0	0	A726	23 Mar 2026	A726\n18:30 - Dublin Heuston to Galway (1 mins late)\nDeparted Athlone Midland Yard next stop Ballinasloe	To Galway
R	0	0	A808	23 Mar 2026	A808\n18:15 - Dublin Heuston to Westport (0 mins late)\nDeparted Athlone Midland Yard next stop Roscommon	To Westport
R	0	0	D422	23 Mar 2026	D422\n19:46 - Grand Canal Dock to Hazelhatch (-7 mins late)\nArrived Inchicore Advance Starter next stop Park West and Cherry Orchard	Southbound
R	0	0	D537	23 Mar 2026	D537\n19:30 - Mallow to Cobh (0 mins late)\nDeparted Killarney Junction next stop Cork	To Cobh
R	52.1396	-8.65521	A312	23 Mar 2026	A312\n17:05 - Dublin Heuston to Tralee (0 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.271	-9.69846	A315	23 Mar 2026	A315\n19:05 - Tralee to Cork (0 mins late)\nDeparted Tralee next stop Farranfore	To Cork
R	52.6404	-8.52719	A478	23 Mar 2026	A478\n19:42 - Limerick Junction to Ennis (0 mins late)\nDeparted Killonan next stop Limerick	To Ennis
R	52.6587	-8.62397	A788	23 Mar 2026	A788\n18:05 - Limerick to Galway (0 mins late)\nDeparted Limerick next stop Sixmilebridge	To Galway
R	52.8999	-7.60259	A226	23 Mar 2026	A226\n19:00 - Dublin Heuston to Cork (10 mins late)\nDeparted Ballybrophy next stop Templemore	To Cork
R	52.8999	-7.60259	A464	23 Mar 2026	A464\n19:05 - Ballybrophy to Limerick (0 mins late)\nDeparted Ballybrophy next stop Roscrea	To Limerick
R	52.992	-6.9762	A526	23 Mar 2026	A526\n18:35 - Dublin Heuston to Waterford (0 mins late)\nDeparted Athy next stop Carlow	To Waterford
R	52.992	-6.9762	A527	23 Mar 2026	A527\n18:25 - Waterford to Dublin Heuston (3 mins late)\nDeparted Athy next stop Kildare	To Dublin Heuston
R	53.1442	-6.06085	A612	23 Mar 2026	A612\n17:28 - Dublin Connolly to Rosslare Europort (1 mins late)\nDeparted Greystones next stop Kilcoole	Southbound
R	53.1442	-6.06085	A614	23 Mar 2026	A614\n18:28 - Dublin Connolly to Wexford (5 mins late)\nDeparted Greystones next stop Kilcoole	Southbound
R	53.1454	-7.06361	A728	23 Mar 2026	A728\n19:35 - Dublin Heuston to Galway (3 mins late)\nDeparted Monasterevin next stop Portarlington	To Galway
R	53.146	-7.18055	D221	23 Mar 2026	D221\n19:08 - Dublin Heuston to Portlaoise (3 mins late)\nDeparted Portarlington next stop Portlaoise	To Portlaoise
R	53.2043	-6.10046	E127	23 Mar 2026	E127\n18:55 - Howth to Greystones (3 mins late)\nArrived Bray next stop Greystones	Southbound
R	53.22	-6.1101	E254	23 Mar 2026	E254\n19:03 - Malahide to Bray (0 mins late)\nArrived Woodbrook next stop Bray	Southbound
R	53.2736	-9.04696	A491	23 Mar 2026	A491\n18:50 - Galway to Ennis (0 mins late)\nDeparted Galway next stop Oranmore	To Ennis
R	53.2736	-9.04696	A729	23 Mar 2026	A729\n19:25 - Galway to Dublin Heuston (0 mins late)\nDeparted Galway next stop Oranmore	To Dublin Heuston
R	53.2812	-6.12289	E945	23 Mar 2026	E945\n19:55 - Bray to Howth (4 mins late)\nDeparted Glenageary next stop Sandycove	Northbound
R	53.2878	-6.12712	E255	23 Mar 2026	E255\n19:19 - Howth to Bray (0 mins late)\nArrived Sandycove next stop Glenageary	Southbound
R	53.3099	-6.19498	E842	23 Mar 2026	E842\n19:31 - Greystones to Malahide (2 mins late)\nArrived Booterstown next stop Sydney Parade	Northbound
R	53.3223	-6.52356	D222	23 Mar 2026	D222\n19:45 - Dublin Heuston to Portlaoise (1 mins late)\nDeparted Hazelhatch next stop Sallins	To Portlaoise
R	53.3223	-6.52356	P225	23 Mar 2026	P225\n19:25 - Portlaoise to Dublin Heuston (2 mins late)\nDeparted Hazelhatch next stop Adamstown	To Dublin Heuston
R	53.3397	-6.23773	E128	23 Mar 2026	E128\n19:34 - Malahide to Greystones (6 mins late)\nArrived Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.3397	-6.23773	E944	23 Mar 2026	E944\n19:35 - Bray to Howth (0 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3433	-6.24829	D833	23 Mar 2026	D833\n20:09 - Grand Canal Dock to Drogheda (2 mins late)\nDeparted Dublin Pearse next stop Tara Street	To Drogheda
R	53.347	-6.25425	A616	23 Mar 2026	A616\n20:08 - Dublin Connolly to Gorey (2 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
